symbol,longName,regularMarketPrice,regularMarketChangePercent,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,fiftyTwoWeekRange,epsTrailingTwelveMonths,trailingPE,trailingAnnualDividendYield,12mMinMaxChange
PCAR3.SA,Companhia Brasileira de Distribuição,31.41,5.9002023,-16.69,-49.95,10.99 - 89.0,8.111,3.8725188,6.48,709.83
TAEE11.SA,Transmissora Aliança de Energia Elétrica S.A.,36.1,0.8943535,9.64,14.63,24.9 - 36.5,6.569,5.495509,13.02,46.59
SULA11.SA,Sul América S.A.,36.35,-1.5172077,1.59,-9.42,30.95 - 52.27683,5.946,6.1133533,1.67,68.91
ASAI3.SA,Sendas Distribuidora S.A.,72.7,1.1548548,1.07,1.07,67.61 - 78.5,5.21,13.953934,,16.11
VALE3.SA,Vale S.A.,95.53,3.3427048,-0.49,19.52,39.2 - 104.0,5.208,18.342934,7.21,165.31
MRFG3.SA,Marfrig Global Foods S.A.,16.83,-2.2648048,11.39,13.91,7.87 - 18.38,4.718,3.5671895,,133.55
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações,23.68,-2.1083102,-7.6,-9.96,11.94 - 31.9,4.578,5.1725645,5.38,167.17
BBAS3.SA,Banco do Brasil S.A.,29.66,0.3382963,-4.4,-11.11,24.0 - 40.56,4.386,6.7624254,4.98,69.0
ELET3.SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás,33.77,-0.3540836,7.23,3.08,19.54 - 41.33,4.079,8.27899,3.06,111.51
ELET6.SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás,34.26,-0.2620092,7.09,3.0,22.0 - 41.55,4.079,8.399117,3.02,88.86
EGIE3.SA,Engie Brasil Energia S.A.,41.22,0.56111133,-2.42,-3.37,35.56 - 47.7,3.428,12.024505,3.85,34.14
BRDT3.SA,Petrobras Distribuidora S.A.,22.08,-0.853168,2.99,2.98,13.53 - 24.87,3.352,6.587112,8.89,83.81
PRIO3.SA,Petro Rio S.A.,92.51,3.467172,5.54,55.45,15.07 - 101.39,3.308,27.965538,,572.79
CPFE3.SA,CPFL Energia S.A.,30.27,-1.6249593,-2.38,-0.32,25.13 - 34.1,3.044,9.944153,5.85,35.69
EQTL3.SA,Equatorial Energia S.A.,22.83,1.5569413,4.32,4.04,15.62 - 25.74,2.944,7.7547555,0.85,64.79
VIVT3.SA,Telefônica Brasil S.A.,45.34,0.30973315,-0.98,0.22,41.45 - 54.76,2.825,16.049557,6.44,32.11
